id,iso3,country_name,who_region,year,antigen_code,antigen_desc,schedule_round,target_pop,target_pop_desc,geoarea,age_admin,source_comment
1,ABW,,AMRO,2023.0,,DTaP-Hib-IPV (acellular) vaccine,,,,NATIONAL,,
5,ABW,,AMRO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
10,ABW,,AMRO,2023.0,,Adult Hepatitis A vaccine,,,,NATIONAL,,
12,ABW,,AMRO,2023.0,,Pediatric Hepatitis A vaccine,,,,NATIONAL,,
14,ABW,,AMRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
20,ABW,,AMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
23,ABW,,AMRO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
25,ABW,,AMRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
29,ABW,,AMRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
30,ABW,,AMRO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
31,ABW,,AMRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
33,ABW,,AMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
36,ABW,,AMRO,2023.0,,Varicella vaccine,,,,NATIONAL,,
37,ABW,,AMRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
38,AFG,,EMRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
39,AFG,,EMRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
42,AFG,,EMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
43,AFG,,EMRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
45,AFG,,EMRO,2023.0,,Measles vaccine,,,,NATIONAL,,
47,AFG,,EMRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
52,AFG,,EMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
55,AFG,,EMRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
57,AFG,,EMRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
62,AGO,,AFRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
63,AGO,,AFRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
66,AGO,,AFRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
67,AGO,,AFRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
69,AGO,,AFRO,2023.0,,MR (Measles and rubella) vaccine,,,,NATIONAL,,
71,AGO,,AFRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
75,AGO,,AFRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
78,AGO,,AFRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
80,AGO,,AFRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
85,AGO,,AFRO,2023.0,,TT (Tetanus toxoid) vaccine,,,,NATIONAL,,
86,AGO,,AFRO,2023.0,,Vitamin A supplements,,,,NATIONAL,,
88,AGO,,AFRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
89,AIA,,AMRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
90,AIA,,AMRO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
92,AIA,,AMRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
95,AIA,,AMRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
101,AIA,,AMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
102,AIA,,AMRO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
105,AIA,,AMRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
109,AIA,,AMRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
110,AIA,,AMRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
112,AIA,,AMRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
114,AIA,,AMRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
118,AIA,,AMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
122,AIA,,AMRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
126,AIA,,AMRO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
128,AIA,,AMRO,2023.0,,Varicella vaccine,,,,NATIONAL,,
130,AIA,,AMRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
131,ALB,,EURO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
132,ALB,,EURO,2023.0,,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",,,,NATIONAL,,
133,ALB,,EURO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
134,ALB,,EURO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
137,ALB,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
138,ALB,,EURO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
139,ALB,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
143,ALB,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
146,ALB,,EURO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
148,ALB,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
150,ALB,,EURO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
153,ALB,,EURO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
156,ALB,,EURO,2023.0,,RV-5 (Rotavirus 5-valent) vaccine,,,,NATIONAL,,
159,ALB,,EURO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
161,AND,,EURO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
164,AND,,EURO,2023.0,,HPV-2 (Human Papilloma Virus 2-valent) vaccine,,,,NATIONAL,,
166,AND,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
170,AND,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
171,AND,,EURO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
173,AND,,EURO,2023.0,,Meningococcal B vaccine,,,,NATIONAL,,
176,AND,,EURO,2023.0,,Meningococcal C conjugate vaccine,,,,NATIONAL,,
177,AND,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
179,AND,,EURO,2023.0,,Mpox (monkeypox) vaccine,,,,NATIONAL,,
182,AND,,EURO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
185,AND,,EURO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
